"","IncomeRange","LoanStatusGroup","count","RName"
"1","Not displayed","Completed",4610,1
"2","Not displayed","Defaulted",3127,2
"3","Not employed","Completed",325,3
"4","Not employed","Current",248,4
"5","Not employed","Past Due",26,5
"6","Not employed","Defaulted",207,6
"7","$0","Completed",370,7
"8","$0","Current",11,8
"9","$0","Past Due",4,9
"10","$0","Defaulted",236,10
"11","$1-24,999","Completed",2922,11
"12","$1-24,999","Current",2536,12
"13","$1-24,999","Past Due",153,13
"14","$1-24,999","Defaulted",1663,14
"15","$25,000-49,999","Completed",10940,15
"16","$25,000-49,999","Current",15111,16
"17","$25,000-49,999","Past Due",688,17
"18","$25,000-49,999","Defaulted",5452,18
"19","$50,000-74,999","Completed",9346,19
"20","$50,000-74,999","Current",17615,20
"21","$50,000-74,999","Past Due",582,21
"22","$50,000-74,999","Defaulted",3507,22
"23","$75,000-99,999","Completed",4940,23
"24","$75,000-99,999","Current",10139,24
"25","$75,000-99,999","Past Due",309,25
"26","$75,000-99,999","Defaulted",1528,26
"27","$100,000+","Completed",4826,27
"28","$100,000+","Current",10916,28
"29","$100,000+","Past Due",305,29
"30","$100,000+","Defaulted",1290,30
