"","ListingCreationDate.QT","LoanStatusGroup","count"
"1","2005-10-01","Completed",23
"2","2006-01-01","Completed",279
"3","2006-01-01","Defaulted",129
"4","2006-04-01","Completed",858
"5","2006-04-01","Defaulted",451
"6","2006-07-01","Completed",1175
"7","2006-07-01","Defaulted",794
"8","2006-10-01","Completed",1439
"9","2006-10-01","Defaulted",1084
"10","2007-01-01","Completed",1861
"11","2007-01-01","Defaulted",1320
"12","2007-04-01","Completed",1833
"13","2007-04-01","Defaulted",1220
"14","2007-07-01","Completed",1604
"15","2007-07-01","Defaulted",1048
"16","2007-10-01","Completed",1743
"17","2007-10-01","Defaulted",928
"18","2008-01-01","Completed",2148
"19","2008-01-01","Defaulted",1083
"20","2008-04-01","Completed",2926
"21","2008-04-01","Defaulted",1471
"22","2008-07-01","Completed",2363
"23","2008-07-01","Defaulted",1092
"24","2008-10-01","Completed",133
"25","2008-10-01","Defaulted",46
"26","2009-04-01","Completed",25
"27","2009-04-01","Defaulted",3
"28","2009-07-01","Completed",708
"29","2009-07-01","Defaulted",115
"30","2009-10-01","Completed",1137
"31","2009-10-01","Defaulted",218
"32","2010-01-01","Completed",1095
"33","2010-01-01","Defaulted",196
"34","2010-04-01","Completed",1223
"35","2010-04-01","Current",1
"36","2010-04-01","Defaulted",271
"37","2010-07-01","Completed",1066
"38","2010-07-01","Current",1
"39","2010-07-01","Past Due",1
"40","2010-07-01","Defaulted",194
"41","2010-10-01","Completed",1182
"42","2010-10-01","Current",28
"43","2010-10-01","Past Due",10
"44","2010-10-01","Defaulted",262
"45","2011-01-01","Completed",1401
"46","2011-01-01","Current",262
"47","2011-01-01","Past Due",32
"48","2011-01-01","Defaulted",371
"49","2011-04-01","Completed",1117
"50","2011-04-01","Current",696
"51","2011-04-01","Past Due",59
"52","2011-04-01","Defaulted",519
"53","2011-07-01","Completed",1366
"54","2011-07-01","Current",982
"55","2011-07-01","Past Due",78
"56","2011-07-01","Defaulted",595
"57","2011-10-01","Completed",1671
"58","2011-10-01","Current",1462
"59","2011-10-01","Past Due",132
"60","2011-10-01","Defaulted",699
"61","2012-01-01","Completed",1537
"62","2012-01-01","Current",2102
"63","2012-01-01","Past Due",168
"64","2012-01-01","Defaulted",747
"65","2012-04-01","Completed",1535
"66","2012-04-01","Current",2586
"67","2012-04-01","Past Due",224
"68","2012-04-01","Defaulted",789
"69","2012-07-01","Completed",1462
"70","2012-07-01","Current",3182
"71","2012-07-01","Past Due",268
"72","2012-07-01","Defaulted",683
"73","2012-10-01","Completed",969
"74","2012-10-01","Current",2711
"75","2012-10-01","Past Due",228
"76","2012-10-01","Defaulted",365
"77","2013-01-01","Completed",700
"78","2013-01-01","Current",2905
"79","2013-01-01","Past Due",162
"80","2013-01-01","Defaulted",137
"81","2013-04-01","Completed",666
"82","2013-04-01","Current",6112
"83","2013-04-01","Past Due",229
"84","2013-04-01","Defaulted",157
"85","2013-07-01","Completed",579
"86","2013-07-01","Current",9122
"87","2013-07-01","Past Due",282
"88","2013-07-01","Defaulted",22
"89","2013-10-01","Completed",375
"90","2013-10-01","Current",13781
"91","2013-10-01","Past Due",183
"92","2013-10-01","Defaulted",1
"93","2014-01-01","Completed",80
"94","2014-01-01","Current",10643
"95","2014-01-01","Past Due",11
